tweet,created_at,word_count,favorite_count,retweet_count,user_followers_count,user_following_count,user_friends_count,user_verified,subjectivity,polarity,sentiment
RT @MSNBC: .@MaddowBlog: The Trump administration was already facing credible accusations of making the system worse on purpose. Those clai ,2018-07-09,140,0,152,493,False,1033,False,0.6499999999999999,0.0,Neutral
RT @EdKrassen: BREAKING: Here is a preview of what @BBCOne will be airing exposing President Trump as a sexual predator at 8:30PM. I know ,2018-07-09,160,0,1295,424,False,1101,False,0.8333333333333334,0.5,Positive
RT @ACLU: Tomorrow is the deadline for the government to reunite 102 separated children under the age of five with their parents. Today in ,2018-07-09,160,0,35,1433,False,553,False,0.0,0.0,Neutral
One thing trump has done is show us all the weaknesses in our system. https://t.co/AFC7jFHgD2,2018-07-09,124,0,0,4823,False,4653,False,0.0,0.0,Neutral
@PLCROSSTALK Your show Crosstalk has been deteriorating. Dominated by right wing Trump groupies and Putin boys. You yourself are very partisan.,2018-07-09,144,0,0,32,False,309,False,0.4178571428571428,0.24285714285714285,Neutral
RT @funder: BREAKING: California prosecutor Michael Selyem has been suspended now under investigation. He called Maxine Waters a loud mou ,2018-07-09,140,0,2997,471,False,547,False,0.8,0.1,Neutral
RT @tictoc: Trump's personal driver for 25 years is suing Trump for 3 300 hours of unpaid overtime https://t.co/wI2230TaSu https://t.co/Mkc ,2018-07-09,152,0,1639,451,False,678,False,0.35,0.1,Neutral
RT @ACLU: Tomorrow is the deadline for the government to reunite 102 separated children under the age of five with their parents. Today in ,2018-07-09,160,0,35,102,False,185,False,0.0,0.0,Neutral
RT @dcfairbank: @shannonrwatts @Mike_Pence @SpeakerRyan @SenateMajLdr @HouseGOP @SenateGOP When has @realDonaldTrump been accused of rape o ,2018-07-09,124,0,13,3614,False,3654,False,0.0,0.0,Neutral
RT @ScottPresler: Tonight President Trump will give us a SCOTUS nominee. The Senate has the power to approve/reject SCOTUS nominees. Wit ,2018-07-09,144,0,1347,600,False,919,False,0.0,0.0,Neutral
